Article;title;Title;
6841313;Sony Cyber-shot DSC-RX100 Digital Camera (Black);Sony Cyber-shot DSC-RX100 Digital Camera (Black);"Long Description:

This Sony DSC-RX100 is a 20.2 megapixel digital camera that is powered by an Exmor CMOS sensor. This type of sensor excels at collecting as much light as possible in low light environments. The large f/1.8 aperture also contributes to producing bright images when the lighting level is not ideal. The images that it generates can be in JPEG or RAW formats. In addition, the Cyber-shot DSC-RX100 records high definition 1080p video at 60 frames per second.

The lens has a 3.6x true zoom and a 7.2x digital zoom. It is coated with multiple layers to reduce ghosting and lens flare when it reflects light. Plus, the Cyber-shot DSC-RX100 has a 3 inch LCD monitor that performs well when the sun is too bright. It features an intelligent automatic focus mode by adapting its settings to the conditions it is performing under. This feature also has the ability to detect faces and smiles. This great feature is able to recognize faces to keep the focus on them. Additionally, the ability to detect when someone is smiling is useful, because it automatically triggers the shutter to release.

Short Description:
<ul>
<li>20.2 megapixel 1 inch Exmor CMOS sensor</li>
<li>3 inch LCD monitor</li>
<li>3.6x true zoom and 7.2x digital zoom</li>
<li>Records high definition 1080p video at 60 frames per second</li>
<li>Quick and intelligent automatic focus system</li>
<li>Captures images in JPEG and RAW formats</li>
</ul>"
6841317;Sony Cyber-shot DSC-TX200V Digital Camera (Silver);Sony Cyber-shot DSC-TX200V Digital Camera (Silver);"Long Description:

This Sony DSC-TX200V is a point and shoot digital camera that is the perfect camera to bring with you everywhere. More so, because it is dustproof and waterproof. It can go under water as far as 16 feet deep. It produces high quality 18.2 megapixel images, and can capture high definition video at 60 frames per second. It has a 3 inch LCD touch display. Plus, it has 5x true zoom and 10 x digital zoom. To prevent images from being blurry in low light environments or when zoomed up close, it uses the SteadyShot stabilizer feature. There is also an internal flash feature that helps when the lighting is not sufficient. It has quick automatic focus that assists you in capturing the right shot at the right moment. The 18.2 megapixel images are supported by its Exmor R CMOS sensor, which helps to reduce image grain to generate photos with a lot of detail.

Short Description:
<ul>
<li>18.2 megapixels with an Exmor R CMOS sensor</li>
<li>Records high definition video at 60 frames per second</li>
<li>3 inch LCD monitor</li>
<li>Waterproof and dustproof</li>
<li>5x true zoom and 10x digital zoom</li>
<li>Internal flash</li>
<li>Quick automatic focus system</li>
<li>Compatible with Memory Stick Micro, and MicroSD cards</li>
</ul>"
6841321;Sony 4GB E Series Walkman Video MP3 Player (Red);Sony 4GB E Series Walkman Video MP3 Player (Red);"Long Description:

This Sony E Series Walkman is a 4 GB video and MP3 player. It is durable, and it can last as long as 36 hours of playing music or 6 hours of playing videos through its rechargeable lithium-ion battery. It has a bright 2 inch color LCD monitor that displays videos, album covers, and any photos you store on it. In addition, there is a mode that displays the lyrics of the music to help you sing along. You can load the lyrics to all your music, and then set it to sync with the music as it plays.

It is simple to upload your files onto this Sony E Series Walkman. First, you have to connect to iTunes or Windows Media Player. Then, you just have to drag your files onto the Walkman. The E Series Walkman has a great sound system that delivers high clarity and depth with Sony's Clear Audio Technology. This includes dynamic sound enhancement along with clear stereo and bass technology to provide crisp sound that reduces noise. Plus, there are preset settings for different genres of music. Also, the Walkman comes with Sony brand EX headphones.

Additional features are an FM radio tuner, an alarm clock, and an internal microphone so that you can record audio. It comes with two games you can enjoy, which are similar to Tetris and Sudoku. Then, there is Sony's SensMe feature. This will organize you music based on its tempo. Thus, you will have playlists ready to go for when you want music for relaxing or working out.

Short Description:
<ul>
<li>Thin 0.3 inch Video and MP3 player</li>
<li>2 inch LCD monitor</li>
<li>4 GB capacity</li>
<li>Drag and Drop your files onto the device using iTunes or Windows Media PLayer</li>
<li>FM tuner</li>
<li>Lets you load lyrics to sing along</li>
<li>Lithium-ion battery lasts as long as 36 hours for playing music, or 6 hours of video</li>
<li>Comes with Sony's EX Earbud Headphones</li>
</ul>"
6841325;SONY NEX-VG20H E18-200MM;SONY NEX-VG20H E18-200MM Camcorder;"Long Description:

The Sony NEX-VG20H camcorder has a lens that covers everything with a focal length of 18-200mm, this goes from wide angles to telephoto shots. Its automatic focus system is quiet, and it comes equipped with the ability to prevent the footage from blurring due to the camera shaking. This will come in handy with the new design of the NEX-VG20H camcorder, which makes it easier to hold onto. Plus, the buttons are laid around to make your job much easier when you need to hit record or manually focus. This makes the NEX-VG20H is an efficient camcorder no matter how you hold onto.

The superior picture quality comes from a bigger APS high definition CMOS sensor than previous models. The NEX-VG20H records in 60 frames per second. However, it also allows you to record in 24 frames per second, and this will make your videos look like film-style movies. Then, you can use the camcorder's 3 inch LCD monitor to get a better idea of what is in frame, or you can playback the footage you recorded. The control of this LCD monitor is improved, because it is now a touch screen. This function will make it easier to navigate all the menu options.

The NEX-VG20H is more than just a camcorder; it also captures high resolution images with a 16.1 megapixel sensor. All the memories you will capture can be stored onto your Memory Sticks or SD cards. In addition, you can directly copy your data from the camcorder to an external hard drive. This process is more convenient than having to connect to a computer. The NEX-VG20H runs on a V-Series battery and it comes with an NP-FV70 battery to help your recording time last as long as 2 hours and 25 minutes.

Short Description:
<ul>
<li>Records high definition video at 60 and 24 frames per second</li>
<li>Has a lens with a focal length of 18-200mm</li>
<li>Captures images with a 16.1 megapixel sensor</li>
<li>Records onto Memory Stick and SD cards</li>
<li>3 inch LCD touch monitor</li>
<li>Works with Sony E-mount series lenses</li>
</ul>"
6841329;Sony Cyber-shot DSC-HX10V Digital Camera (Silver);Sony Cyber-shot DSC-HX10V Digital Camera (Silver);"Long Description:

This Sony Cyber-shot DSC-HX10V is a digital camera that is capable of generating images at 18.2 megapixels. It is backed up by an Exmor R CMOS sensor for capturing lots of light to keep the images bright and detailed. It uses a Sony G lens that has a focal length of 24-384 mm, which makes it useful for all shooting applications. In addition, it has a 16x true zoom. To prevent the image from becoming blurry, it uses SteadyShot. This is an image stabilizer that is necessary in low light environments, and for reducing any camera shake. Additionally, the automatic focus feature is faster than previous Cyber-shot models.

With GPS and Compass features inside the Sony Cyber-shot, all your photos will be tagged with their location. Even further, the compass will let you know in what direction the photo was being taken. The camera can react faster at 10 frames per second in burst mode, which is a necessary feature for when lighting is low or the subject is in motion. The Cyber-shot DSC-HX10V also captures high definition video at 1080/60i. Any image or video you capture can be recorded onto your Memory Stick or SD cards. Plus, it can be viewed on the Cyber-shot's impressive 3 inch LCD screen.

Short Description:
<ul>
<li>18.2 megapixel 1/2.3 inch Exmor R CMOS Sensor</li>
<li>24-384mm Sony G Lens</li>
<li>16x true zoom and 32x digital zoom</li>
<li>SteadyShot reduces image blur</li>
<li>Captures high definition video at 1080/60i</li>
<li>Burst Mode at 10 frames per second</li>
<li>Uses Memory Sticks and SD Cards</li>
<li>3 inch LCD screen</li>
</ul>"
6841333;Sony Alpha SLT-A77 DSLR Digital Camera (Body Only);Sony Alpha SLT-A77 DSLR Digital Camera (Body Only);"Long Description:

This Sony ALPHA digital camera has single lens translucence technology. It assists in producing 24.3 megapixel images along with an APS-C CMOS sensor and ISO 16000 Sensitivity. Single lens translucence indicates the use of an extremely thin mirror to split incoming light into two paths to illuminate the image sensor and the autofocus sensor. Further, the end result is shown in the OLED electronic viewfinder. Plus, its BIONZ image processor converts the data from the sensor into the format that will be stored into your memory source in one of two media slots.

The Sony Alpha SLT-A77 has a hot shoe mount to give you more flash options, but it also has an internal flash option. Then, the automatic focus can detect as many as 8 faces. This feature will adjust focus and exposure to optimize the settings for these types of photos. Furthermore, you can set this feature to remember faces of certain people and set priorities for them. Similarly, smiles can be detected that lead to the automatic capture of an image.

The Sony Alpha SLT-A77 has SteadyShot to help stabilize your images. In addition, it can capture 1080p high definition video at 60 and 24 frames per second. It also uses a GPS tracker to help you keep tabs on where you were when you captured all your footage. Then, all the footage and its details can be viewed on the 3 inch LCD monitor that swivels and tilts for your preference. With a fully charged InfoLithium battery, you will be able to take as many as 530 shots. The Alpha SLT-A77 will show you the percent of battery life remaining to give you one less thing to worry about. 

To keep the sensors performing at a high standard, the Alpha SLT-A77 utilizes ant-dust technology. This feature coats the sensors to keep dust away, and it uses vibration to remove any lingering dust.

Short Description:
<ul>
<li>24.3 megapixel APS-C CMOS sensor</li>
<li>OLED Electronic Viewfinder</li>
<li>3 inch LCD monitor</li>
<li>BIONZ image processor</li>
<li>Captures 1080p high definition movies at 60 and 24 frames per second</li>
<li>Internal GPS tracker will tag your footage</li>
<li>Internal flash and a hot shoue mount</li>
<li>SteadyShot reduces image blur</li>
<li>Two slots for Memory Sticks and SD cards</li>
</ul>"
6841341;Sony Alpha SLT-A65VK Digital Camera with 18-55mm Lens;Sony Alpha SLT-A65VK Digital Camera with 18-55mm Lens;"Long Description:

This Sony Alpha SLT-A65VK is a digital camera with a 18-55mm lens that generates sharp and bright pictures with the help of a 24.3 megapixel APS-C sensor. This type of sensor keeps the camera smaller and lighter. With the battery attached, the SLT-A65VK only weighs one pound and six ounces. Further, the images are viewed on the OLED electronic viewfinder. It displays high resolution and contrast. Plus, along with the help of the SteadyShot feature, the electronic viewfinder displays images with reduced image blur. The viewfinder offers Live View, which shows you how the image will turn out as your are shooting it.

The Sony Alpha SLT-A65VK uses translucent mirrors to direct incoming light to go to the image sensor and the automatic focus sensor. This technology helps improve shooting and focus speeds. There is also the ability to shoot up to 10 frames per second, which will come in handy when you are shooting subjects in motion. Further, it has a 3 inch LCD monitor that swivels and tilts. Here, you will be able to view your images and navigate the menus for taking advantage of all the features that this Sony Alpha offers. This includes a panoramic shot mode that only requires you to sweep around in 360 degrees for the camera to assemble it in two or three dimensions.

The Sony Alpha SLT-A65VK has internal flash for when lighting is low, but it also features a hot shoe mount for attached other flash trigger accessories. You can also record high definition videos with a resolution of 1920 x 1080. Additionally, you can record at 24 or 60 frames per second. Everything you capture with the Sony Alpha SLT-A65VK is stored in one of its two memory slots. These slots are compatible with Memory Sticks and SD cards.

Short Description:
<ul>
<li>24.3 megapixel APS-C sensor</li>
<li>OLED Electronic Viewfinder</li>
<li>Live View shows you how your image will turn out as you are capturing it</li>
<li>3 inch LCD monitor</li>
<li>Records high definition with 1080 resolution at 24 and 60 frames per second</li>
<li>SteadyShot reduces image blur</li>
<li>Internal flash and hot shoe mount for additional flash accessories</li>
</ul>"
6841345;Sony Cyber-Shot DSC-W620 Digital Camera (Silver);Sony Cyber-Shot DSC-W620 Digital Camera (Silver);"Long Description:

This silver Sony Cyber-Shot DSC-W620 Digital Camera supports high resolution images at 14.1 megapixel with an ISO of 3200. It also records high definition video at 720p. The footage is captured with a wide angle to telephoto zoom lens with 5x magnification. The automatic focus mode is intelligent as it is designed to adjust to the setting it is performing under. The settings will vary depending on the lighting and what you are actually shooting. You can give priority to any faces that are in the picture to put the focus on them.

The Cyber-shot DSC-W620 only weighs 3.8 ounces with dimensions of 3.75 x 2.25 x 0.75 inches. Plus, it has a 2.7 inch LCD screen for viewing your images and navigating through the menu options. One of the cool options it features is a sweep panorama mode that can extend up to 360 degrees. All you have to do is pan the Cyber-shot around and let it put the panoramic shot together. Other intelligent features that are included are recognizing smiles and when someone blinks. The camera will automatically take a picture when it registers that someone is smiling at a set level, and it will wait until everyone's eyes are open too. Additionally, the soft skin feature will cover up any marks or wrinkles on your subject's faces.
 
Short Description:
<ul>
<li>14.1 MP resolution</li>
<li>5x zoom with a wide zoom lens</li>
<li>2.7 inch LCD screen</li>
<li>Captures 720p high definition video</li>
<li>Intelligent Auto mode will adjust the focus</li>
<li>Automatic modes for capturing smiles, avoiding blinks, and covering up marks on the skin</li>
<li>Panoramic shot mode for up to 360 degrees</li>
</ul>"
6841349;Sony Alpha DSLR-SLT-A33 Digital Camera W/18-55mm Lens;Sony Alpha DSLR-SLT-A33 Digital Camera W/18-55mm Lens;"Long Description:

The Sony Alpha DSLR-SLT-A33 is a digital camera with a 18-55mm lens that is capable of 3x magnification. With the help of translucent mirrors, incoming light is directed to the HD CMOS image sensor and the focusing sensor. This helps focusing system make quicker adjustments. Plus, the automatic focus is always working, and it is able to keep focus on moving objects. In the end, the images that are generated have a high resolution of 14.2 megapixels.

In addition to high resolution images, the Sony Alpha DSLR-SLT-A33 is able to capture high definition video with a resolution of 1080/60i. No matter what you use the camera for, all the images can be viewed and reviewed on its 3 inch LCD monitor. Here is where you will be able to navigate through all the options offered. One is the panoramic shot mode that produces panorama shots in two and three dimensions. You just have to sweep the camera around, and the Alpha DSLR-SLT-A33 will put the panoramic image together. Another great feature is its ability to capture as many as 7 frames per second for continuous image capture when your subject is in motion or the lighting level is not ideal. More features include taking 6 consecutive shots to assemble 1 image out of the best data it receives.

Short Description:
<ul>
<li>14.2 megapixel images</li>
<li>High definition video with a resolution of 1080/60i</li>
<li>Translucent mirrors</li>
<li>3 inch LCD screen</li>
<li>3x zoom lens with a focal length of 18-55 mm and an aperture size of f/3.5-5.6</li>
<li>Panoramic shot mode in 3d</li>
<li>Can capture 7 frames per second</li>
<li>ISO 12800 sensitivity</li>
</ul>"
6841353;Sony HDR-CX700V Camcorder;Sony HDR-CX700V Camcorder;"Long Description:

This Sony HDR-CX700V is a high definition camcorder that records footage with a resolution of 1920 x 1080 at 60 frames per second. It also allows you to record at 24 frames per second do give it the look of being recorded on film. Its quality is due to its 1/2.88 of an inch Exmor R CMOS sensor and the BIONZ image processor. The HDR-CX700V comes with 96 GB of internal memory, but there are also slots for your Memory Stick's and SD cards. It captures its footage with a Sony G lens that has 10x true zoom and 120x digital zoom. To reduce the chance of image blur, it uses the SteadyShot feature. Everything you do with the HDR-CX700V can be viewed on its 3 inch LCD display monitor, and it has an internal GPS tracker that shows you where all your footage was shot. The camcorder also can capture images with 12 megapixel's while you are recording video.
 
Short Description:
<ul>
<li>High Definition video with a resolution of 1920 x 1080/60p</li>
<li>Can also record at 24 frames per second</li>
<li>1/2.88"" Exmor R CMOS sesnor</li>
<li>BIONZ image processors</li>
<li>96 GB internal memory</li>
<li>Slots for Memory Sticks and SD cards</li>
<li>SteadyShot feature</li>
<li>10x true zoom and 120x digital zoom</li>
<li>3 inch LCD monitor</li>
<li>GPS tracker can tag your footage</li>
<li>Capture 12 megaixel images while you are recording video</li>
</ul>"
6841357;Sony 4 GB Memory Stick ProDuo;Sony 4 GB Memory Stick ProDuo;"Long Description:

This Sony 4 GB Memory Stick Pro Duo is the successor of the MSX-M4GS, and it has approximately 3.66 GB of storage capacity. It was designed to store and transfer high definition movies and high resolution images. Thus, its use is optimal for holding Advanced Video Coding High Definition (AVCHD)format recordings. The Sony 4 GB Memory Stick Pro Duo works with Handycam camcorders and Cyber-shot digital cameras. It is built to transfer at high speeds, and to store high quality media files. It is a great solution for exporting the memories you capture.

Short Description:
<ul>
<li>Successor of MSX-M4GS</li>
<li>Can actually store 3.66 GB of files</li>
<li>Optimal for storing Advanced Video Coding High Definition (AVCHD) files</li>
<li>Works with Handycam camcorders and Cyber-shot digital cameras</li>
</ul>"
6841361;Sony MDR-ZX100 ZX Series Headphones (White);Sony MDR-ZX100 ZX Series Headphones (White);"Long Description:

The Sony MDR-ZX100 ZX series headphones provide the performance and comfort necessary for a set of headphones. They are a closed type supra aural set with 30 mm drivers. This means that the headphone pads press against your ears to reflect the sound into your ear, rather than around them. These types of headphones are smaller and more lightweight, but they perform well. They easily connect to you MP3 player, or any other device with an auxiliary jack. The cable is 1.2 m, and they are easy to tuck away in your bag. This makes them the perfect headphones for when you are on the go.

Short Description:

<ul>
<li>30 mm drivers</li>
<li>1.2 m cable</li>
<li>Closed set supra aural</li>
</ul>"
6841365;Sony HDR-CX360V Camcorder;Sony HDR-CX360V Camcorder;"Long Description:

This Sony HDR-CX360V is a high definition camcorder with high resolution at 1920 x 1080. Further, it captures video at 60 frames per second. The HDR-CX360V can also capture photos with the help of an Exmor R CMOS sensor. It uses a Sony G Lens, and can get up to 12x true zoom and 160x digital zoom. All the video and images taken can be stored in 32 GB of internal memory, and to Memory Stick Duo and SD card's that you put in the card slots for extra storage.

While you are working with the HDR-CX360V, everything you adjust can be seen on the 3 inch LCD monitor. This includes all the adjustments made with the camcorder's intelligent auto feature. The intelligent automatic focus will select the ideal settings for you quickly. Image blur will be reduced with the help of SteadyShot that excels when you are actively moving around when you shoot. Plus, the internal GPS tracker will provide your footage with details on where and when they were captured.

Short Description:
<ul>
<li>1920 x 1080 high resolution video at 60 frames per second</li>
<li>32 GB of internal memory</li>
<li>Slots for Memory Stick Duo and SD cards</li>
<li>1/4 inch Exmor R CMOS sensor</li>
<li>3 inch LCD screen</li>
<li>Sony Lens G</li>
<li>12x true zoom and 160x digital zoom</li>
<li>Image blue is minimized with SteadyShot</li>
<li>BIONZ image processor</li>
<li>Footage is tagged by data received from the GPS tracker</li>
</ul>"
6841369;Sony HVR-Z7U HDV Camcorder;Sony HVR-Z7U HDV Camcorder;"Long Description:

The Sony HVR-Z7U is a high definition camcorder with an interchangeable lens mount that helps give you many options for whatever type of footage you are recording. It records video at a resolution of 1080i at 24 frames per second. The picture quality is optimized through the use of three Exmor CMOS sensors. These sensors provide superior clarity. The Sony HVR-Z7U records onto flash cards or onto the camcorder's internal memory. When you want to view your footage on a different display, you can utilize its HDMI Output

Short Description:
<ul>
<li>Interchangeable lens mount</li>
<li>Resolution of 1080i at 24 frames per second</li>
<li>Has 3 Exmor CMOS sensors</li>
</ul>"
6841373;Sony Cycle Energy BCG34HLD2RN 1000 mAh Power Charger with 2 AA Pre-Charged Batteries;Sony Cycle Energy BCG34HLD2RN 1000 mAh Power Charger with 2 AA Pre-Charged Batteries;"Long Description:

Sony's Cycle Energy Power Charger is designed with a plug that flips out to plug into the wall with the capability to charge as many as 4 AA Ni-MH rechargeable batteries or 4 AAA Ni-MH rechargeable batteries. When a battery has no life in it, the time it takes to fully charge it is usually three hours. Additionally, these types of batteries can last for as long as one thousand charges. Sony's Cycle Energy Power Charger has universal voltage, which means that you can use it anywhere in the world. 

This set comes with 2 AA rechargeable batteries. They have already been charged and can be used right away. These types of rechargeable batteries last one and a half times longer than Alkaline batteries. Naturally, they have a self discharge rate, but it is very low. This means that these batteries will be able to charge to full capacity for longer than other types of batteries.

Short Description:
<ul>
<li>Comes with 2 AA batteries that are already charged</li>
<li>Batteries are one thousand times rechargeable</li>
<li>They last 1.5x longer than alkaline</li>
<li>Low self discharge rate</li>
<li>Full charge times lasts up to three hours</li>
</ul>"
6841377;Sony Cycle Energy NHAAAB2KN 800 mAh AAA Pre-Charged Batteries (2 Pack);Sony Cycle Energy NHAAAB2KN 800 mAh AAA Pre-Charged Batteries (2 Pack);"Long Description:

The Sony Cycle Energy NHAAAB2KN is a two pack of AAA batteries that are already charged for immediate use as soon as you open their packaging. These types of batteries are rechargeable for as many as one thousand times. Their full charge capacity is 800 mAh, which helps it last three times longer than an alkaline battery. A full charge can take up to seven hours, but they have a low self discharge rate. The low self discharge rate means that recharging it will not harm its ability to hold a full charge.

Short Description:
<ul>
<li>Comes with two pre-charged AAA batteries</li>
<li>Rechargeable for as many as 1000 times</li>
<li>Full charge capacity of 800 mAh</li>
<li>Low self discharge rate</li>
</ul>"
6841381;Sony Cycle Energy NHAAB2KN 2000 mAh AA Pre-Charged Batteries (2 Pack);Sony Cycle Energy NHAAB2KN 2000 mAh AA Pre-Charged Batteries (2 Pack);"Long Description:

The Sony Cycle Energy NHAAB2KN comes with two AA batteries that are already charged for use as soon as you get them. These batteries have an energy storage capacity of 2000 mAh. They last three times as long as alkaline batteries. Plus, they have a low self discharge rate, which means they will keep their full charge capacity longer than other batteries. A full charge takes up to 7 hours, and the rechargeable batteries can last for 1000 charges.

Short Description:
<ul>
<li>Comes with two AA batteries that are pre-charged</li>
<li>Energy storage capacity of 2000 mAh</li>
<li>Full charge takes 7 hours</li>
<li>Rechargeable batteries can sustain up to 1000 charges</li>
<li>Last three times as long as alkaline batteries</li>
</ul>"
6841385;SONY VAIO CARRYING CASE;Sony VAIO P Series Carrying Case;"Long Description:

Laptops are designed to be portable, which means you should keep it in a protective carrying case wherever you go. With this Sony VAIO carrying case you can do that for your VAIO P Series Lifestyle PC. It will protect it from scratches, spills drinks, and other potential hazards. It is made out of nylon and polyurethane, which makes for a really soft cover. It opens and closes with a zipper that make it really easy to go in and out of it. This Sony VAIO P Series carrying case also comes with a smaller pouch for carrying accessories.


Short Description:
<ul>
<li>Made out of nylon and polyurethane</li>
<li>Compatible with Sony VAIO P Series Lifestyle PC's</li>
<li>Comes with a smaller pouch for you accessories</li>
</ul>"
6841389;Sony VGP-BPS15/B VAIO Standard Batteries for P Series Lifestyle PC (Black);Sony VGP-BPS15/B VAIO Standard Batteries for P Series Lifestyle PC (Black);"Long Description:

The Sony VGP-BPS15/B is a black two cell VAIO standard battery for their P Series Lifestyle PC. It has an output power of 7.4 volts, and a full charge capacity of 2100 mAh. It is a standard capacity lithium-ion battery that weighs around one-third of a pound. Its dimensions are 7.9 x 0.5 x 2.1 inches. The Sony VGP-BPS15/B can be used as a back-up to the one that comes with your P Series Lifestyle PC. This redundancy will make sure you will never get caught by surprise if your original battery gets damaged or lost. In addition, it is not a bad idea to bring an extra one for when you are travelling. 

Short Description:
<ul>
<li>Standard capacity lithium-ion battery</li>
<li>Compatible with Sony VAIO P Series Lifestyle PC's</li>
<li>Output power of 7.4 Volts</li>
<li>Full charge capacity of 2100 mAh</li>
<li>Dimensions are 7.9 x 0.5 x 2.1 inches</li>
<li>Weighs 0.32 of a pound</li>
</ul>"
6841393;Sony VGP-BPL14/S VAIO Extended Batteries (Silver);Sony VGP-BPL14/S VAIO Extended Batteries (Silver);"Long Description:

The Sony VGP-BPL14/S for any TT series VAIO PC is an extended lithium-ion battery that attaches to your VAIO. It gives a charge of 10.8 volts, and it has an energy storage capacity of 8100mAh. The Sony VGP-BPL14/S is a large capacity battery that lasts a long time so you can count on it wherever you are. This model is meant specifically for your VAIO series laptop. You can trust it to keep your VAIO laptop running if you are not near an outlet. It extends your batteries duration about one and a half times longer than the average battery.

Short Description:
<ul>
<li>10.8 Volts</li>
<li>Energy capacity of 8100 mAh</li>
<li>Extends your batteries life as much as 1.5x longer than the average battery</li>
</ul>"
6841409;Sony NP-BK1 Rechargeable Lithium-Ion Battery (For Sony Cameras);Sony NP-BK1 Rechargeable Lithium-Ion Battery (For Sony Cameras);"Long Description:

The Sony NP-BK1 is a rechargeable lithium-Ion battery that is designed for use with Sony digital cameras. Specifically, it works with the DSC-W180, DSC-W190, DSC-S750 and DSC-780 digital cameras. For charging the NP-BK1, it is compatible with Sony's BC-TRX battery charger The NP-BK1 has an output of 3.6 Volts, and an energy storage capacity of 980 mAh. Plus, it only weighs 0.7 of an ounce. 

Highlights:
<ul>
<li>Compatible with the following Sony digital cameras: DSC-W180, DSC-W190, DSC-S750, and DSC-780</li>
<li>Output of 3.6 V</li>
<li>Energy storage capacity of 980 mAh</li>
<li>Weights 0.7 of an ounce</li>
</ul>"
6841417;Sony NP-FW50 Lithium-Ion Rechargeable Battery (1080mAh);Sony NP-FW50 Lithium-Ion Rechargeable Battery (1080mAh);"Long Description:

The Sony NP-FW50 is a Lithium-Ion Rechargeable Battery. Its full charge capacity is 1080 mAh. Further, it can be charged whenever you want to, and it will not lose its ability to fully charge. The NP-FW50 is compatible with Sony's Alpha NEX-3, 5 and 7 Series Cameras, DSLR-SLT-A33, and the DSLR-SLT-A55 digital camera. When it is being used with these cameras, the remaining battery life, as a percentage of a full charge, will be displayed on their LCD monitor's. The NP-FW50 has dimensions that are 1 5/16 x 3/4 x 1 13/16 inches, and a weight of 2.1 ounces.

Short Description:
<ul>
<li>Full charge capacity is 1080 mAh</li>
<li>Does not experience memory effect</li>
<li>Sony's Alpha NEX-3, 5 and 7 Series Cameras, DSLR-SLT-A33, DSLR-SLT-A55</li>
<li>Dimensions are 1 5/16 x 3/4 x 1 13/16 inches</li>
<li>Weighs only 2.1 ounces</li>
<li>Displays remaining battery life as a percentage of a full charge on the camera's LCD monitor</li>
</ul>"
6841425;Sony NP-FG1 (G-Series) Rechargeable Lithium-Ion Battery;Sony NP-FG1 (G-Series) Rechargeable Lithium-Ion Battery;"Long Description:

The G Series Sony NP-FG1 is a rechargeable lithium-ion battery that has the power of 3.6 Volts and the energy storage capacity of 960 mAh. It supports InfoLithium systems, which means it transfers information about the batteries life to the device it is connected to. Anytime is suitable for the NP-FG1 to be charged, because it does not have a problem with memory effect. This means that its energy storage capacity will not drop after each charge. 

The Cyber-shot digital camera models it works with are: DSC-H10, DSC-H3, DSC-H7, DSC-H9, DSC-N1, DSC-N2, DSC-T100, DSC-T20, DSC-W100, DSC-W110, DSC-W120, DSC-W130, DSC-W150, DSC-W170, DSC-W200, DSC-W30, DSC-W35, DSC-W50, DSC-W55, DSC-W70, DSC-W80, DSC-W80 HDPR, DSC-W85, DSC-W90, and the DSC-H20.

Short Description:
<ul>
<li>Supports InfoLithium systems</li>
<li>3.6 Volts and an energy storage capacity of 960 mAh.</li>
<li>Does not have issues with memory effect</li>
</ul>"
6841433;Sony NP-FM50 M-Series Info-Lithium Battery (7.2v 1180mAh);Sony NP-FM50 M-Series Info-Lithium Battery (7.2v 1180mAh);"Long Description:

The Sony NP-FM50 is an M-Series Info-Lithium battery that has the output power of 7.2 volts and the full charge storage capacity of 1180 mAh. This is equivalent for as long as three hours of recording. The compact Sony NP-FM50 allows you to charge it whenever you feel it is needed. No matter when you do, it will not develop memory effect. More specifically, it will not lose its capacity to hold a full capacity charge after being charged a few times. As part of the info-lithium battery series, the NP-FM50 will communicate with your Sony camcorder to display it remaining battery life left on its LCD monitor. The microprocessor in this battery is capable of accurately figuring out how much life it has left in minutes.

Short Description:
<ul>
<li>7.2 volts and 1180 mAh</li>
<li>Lasts as long as three hours of recording</li>
<li>Can charge it whenever you like without it experiencing memory effect</li>
<li>Info-Lithium batteries are capable of sending its data to your camcorder to display its remaining life in minutes</li>
</ul>"
6841441;Sony VAIO VGP-CKSR1 carrying Case for the SR1 with Smart Protection (Black);Sony VAIO VGP-CKSR1 carrying Case for the SR1 with Smart Protection (Black);"Long Description:

The Sony VAIO VGP-CKSR1 is a stylish black carrying case for Sony VAIO SR series laptops. Its dimensions are 335 x 260 x 50 mm. It is designed with Sony's Smart Protection, which refers to its hard outside casing and a soft padded interior. The result is your SR series VAIO being protected from any impact causing potential damage. The VGP-CKSR1 is small and narrow, which allows you to take it in and out of your bag with ease.

Short Description:

<ul>
<li>Designed for Sony VAIO SR series laptops</li>
<li>Dimensions are 335 x 260 x 50 mm</li>
<li>Built with Sony's Smart Protection that combines a hard outside shell with a padded interior</li>
</ul>"
6841445;Sony NPBN1 Rechargeable Battery Pack;Sony NPBN1 Rechargeable Battery Pack;"Long Description:

The Sony NPBN1 is a rechargeable battery pack that is meant to be a source of power for your Cyber-shot digital camera. It is a compact battery pack with the dimensions of 1 7/16 x 7/32 x 1 1 5/8 inches. Plus, it has an energy capacity of 3.4 Wh, and an output of DC 3.6 volts. The Sony NPBN1 is a lithium-ion N type battery pack.

Short Description:
<ul>
<li>Lithium-ion N type battery pack</li>
<li>Compatible with Sony Cyber-shot digital cameras</li>
<li>Dimensions are 1 7/16 x 7/32 x 1 1 5/8 inches</li>
<li>Energy capacity of 3.4 Wh</li>
<li>Output of DC3.6 volts</li>
<li>Weighs 0.6 of an ounce</li>
</ul>"
